Nama Program;Pemilik Program;Tahun Penyelenggaraan
"Kemenkeu Corpu Open Class  ""Cintai Bumi, Mulai Dari Kantor yang Kita Sayangi""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Dari Menulis Kreatif, Jadi Penulis Produktif """;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corpu Open Class  ""Digital Literacy: Safety, Security, and Risk  """;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Digital Marketing dan Pelaporan Pajak bagi UMKM""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Fintech Innovation""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corpu Open Class  ""Kajian Fiskal Regional (KFR) Sulawesi Selatan""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Kemenkeu Satu Mendorong UMKM Naik Kelas""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Kreativitas dalam Konten Video""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corpu Open Class  ""Kupas Tuntas ZI WBK WBBM Bersama TPN""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Peningkatan Kompetensi Sekretaris Pimpinan di Lingkungan Kantor Wilayah DJP Sumatera Selatan dan Kepulauan Bangka Belitung""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Seminar Antikorupsi: Pelaporan Gratifikasi – Permasalahan Etika atau Hukum?""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Strategi Fiskal Menghadapi Perubahan Iklim""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corpu Open Class  ""Strategi Pemasaran dan Pembukuan Sederhana Bagi UMKM""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class  ""Success Story Pembangunan Zona Integritas Wilayah Bebas Korupsi dan Wilayah Birokrasi Bersih Melayani""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Kemenkeu Corpu Open Class  “Bedah PMK 171 Tahun 2019: Fasilitas Pembebasan Bea Masuk atas Impor Barang oleh Pemerintah Pusat atau Pemerintah Daerah yang Ditujukan untuk Kepentingan Umum”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Kemenkeu Corpu Open Class  “Kebijakan Cukai dan Peranannya di Masa Pandemi”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Kemenkeu Corpu Open Class  “Kontribusi Ekspor Crude Palm Oil Riau Terhadap Penerimaan Negara”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Kemenkeu Corpu Open Class  “Merangkai Kata Menjadi Karya”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Kemenkeu Corpu Open Class  Strategi Pencapaian Indikator Kinerja Pelaksanaan Anggaran (IKPA) Yang Optimal;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class  Sukses Mengelola Keuangan Usaha Mikro Kecil dan Menengah (UMKM);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
"Kemenkeu Corpu Open Class ""Communication Skills""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Kemenkeu Corpu Open Class ""Digital Literacy: Introduction to Digital Skill and Digital Safety""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corpu Open Class ""Kerja Aman atau Kerja Nyaman""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Kemenkeu Corpu Open Class ""Membangun Keluarga Bahagia dengan Perencanaan Keuangan Keluarga yang Baik dan Efektif""  ";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corpu Open Class ""Menjaga Inovasi, Merawat Organisasi""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corpu Open Class ""Menulis Itu Mudah""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corpu Open Class ""Pengembangan Kompetensi Mengelola Perubahan untuk Pelaksana Guna Persiapan Menghadapi Asesmen Kompetensi""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corpu Open Class ""Pengembangan Pegawai di Masa Pandemi: Biaya atau Investasi""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Kemenkeu Corpu Open Class ""Pengenalan National Logistics Ecosystem: Apa Itu dan Urgensi Bagi Indonesia""";Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
"Kemenkeu Corpu Open Class ""Penggunaan Metode Service Quality dan Quality Function Deployment dalam Manajemen Mutu Pelayanan Publik""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corpu Open Class ""Peningkatan Produktivitas melalui Work Life Balance""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
"Kemenkeu Corpu Open Class ""Peran Srikandi Melawan Korupsi""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
"Kemenkeu Corpu Open Class ""Servant Leadership: Teori dan Praktik dalam Penerapan Flexible Working Space""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corpu Open Class ""Setiap Orang bisa Menjadi Humas Pemerintah""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corpu Open Class ""Sosialisasi Seleksi Penerimaan Mahasiswa Baru (SPMB) Politeknik Keuangan Negara STAN""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
"Kemenkeu Corpu Open Class ""The Power of Visualization With Excel""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
"Kemenkeu Corpu Open Class (KCOC) ""Langkah Kecil, Dampak Besar: Implementasi dan Pemanfaatan Panel Surya pada Gedung Pemerintahan""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
Kemenkeu Corpu Open Class (KCOC) “Ngobrolin Investasi: Judi Online NO, Prudent Investment YES”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corpu Open Class (KCOC) Spesial KLF 2023;Sekretariat Badan;2023
Kemenkeu Corpu Open Class – APWI BPPK Bisa Bicara “Ngabubu-write, Tips dan Trik Publikasi Paper di Jurnal Terakreditasi Sinta”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Kemenkeu Corpu Open Class “ Konsep dan Implementasi Prinsip Customer Focus dan Improvement dalam Manajemen Mutu”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corpu Open Class “ Public Speaking yang Berdampak""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
Kemenkeu Corpu Open Class “Administrasi Manifes: Pemberitahuan Inward dan Outward”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Kemenkeu Corpu Open Class “Agile Organization di Era Normal”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Kemenkeu Corpu Open Class “Bedah Putusan Peninjauan Kembali Sengketa PPN”;Pusat Pendidikan dan Pelatihan Pajak;2023
Kemenkeu Corpu Open Class “Cerdas UMKM: Pengetahuan Ekspor, Pajak dan Pengelolaan Keuangan”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Kemenkeu Corpu Open Class “Discovering Why Mindfulness Matters To Us”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Kemenkeu Corpu Open Class “Efektivitas Komunikasi Interpersonal dan Performa Individu dalam Dunia Kerja”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Kemenkeu Corpu Open Class “Integritas Lintas Generasi”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corpu Open Class “Kepailitan dan Penagihan Pajak Atas Wajib Pajak Dalam Pailit”;Pusat Pendidikan dan Pelatihan Pajak;2021
"Kemenkeu Corpu Open Class “Konsep dan Implementasi Prinsip Process Approach dan Improvement dalam Manajemen Mutu""”";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Kemenkeu Corpu Open Class “OBS: Virtual Event Customization”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Kemenkeu Corpu Open Class “Pengarusutamaan Gender (PUG)”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Kemenkeu Corpu Open Class “Pengembangan Kompetensi Kerja Sama untuk Pelaksana Guna Persiapan Menghadapi Uji Kompetensi”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
"Kemenkeu Corpu Open Class “Peran Pembiayaan APBN dan Edukasi Literasi Investasi Surat Berharga Negara (SBN) Ritel""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
"Kemenkeu Corpu Open Class “Presentasi Tanpa Demam Panggung""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
KemenKeu Corpu Open Class “Service Excellence : Melayani Setulus Hati Ditengah Pandemi”;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Kemenkeu Corpu Open Class Ampera Bersatu: The New DJPB In Town Menjaga Belanja Pemerintah Berkualitas;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Bayar Belanja Negara, Pakai Digipay Aja;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class BDK Medan “Ketentuan Barang Larangan dan Pembatasan:   Mau Ekspor atau Impor? Pahami Dulu Barangnya”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2021
Kemenkeu Corpu Open Class BDK Pekanbaru, SIAK Seri XII : Akhir Tahun Siapa Takut: Bahas Tuntas Rekening Penampungan Akhir Tahun Anggaran (RPATA);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
KemenKeu Corpu Open Class Fungsionalisasi Jabatan Pengelola Keuangan APBN;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu OPen Class Ga Bingung Lagi Nyusun Spesifikasi Teknis;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Harmonisasi Kapasitas dan Penguatan Sinergi ALCo Regional Bali, NTB, dan NTT;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Implementasi Transaksi melalui  Marketplace dan Digital Payment;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu OPen Class Kebijakan Pencairan Dana Desa dan Aspek Perpajakan atas Dana Desa di era Pandemi Covid-19;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
Kemenkeu Corpu Open Class KemenKeu Satu : Sinergi Pemberdayaan UMKM;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Kemenkeu Satu Kaltimtara - Bersama UMKM Bangkit Hadapi Ekonomi Tahun 2023;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
"Kemenkeu Corpu Open Class Ketahanan Keluarga ""Merawat Cinta Sampai Surga""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Kemenkeu Corpu Open Class Konsolidasi Pengadaan Antara Dua Pilihan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Langkah-Langkah Akhir Tahun Anggaran 2021;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Literasi Digital;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Kemenkeu Corpu Open Class Literasi Keuangan Negara: Peran APBN Dalam Menunjang Pendidikan  Tinggi;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2024
Kemenkeu Corpu Open Class Memahami PERPRES 12 Tahun 2021 tentang Perubahan atas PERPRES 16 Tahun 2018 tentang Pengadaan Barang/Jasa Pemerintah;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Memahami RPATA dan Relevansinya dalam Pengendalian Kontrak Akhir Tahun;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Kemenkeu Corpu Open Class Membangun Budaya Literasi Informasi di Era Keterbukaan Informasi Publik;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Kemenkeu Corpu Open Class Menangani Penolakan Wajib Pajak dengan Teknik DOM NLP (Disarming Objection Mastery Neuro Linguistic Programming);Pusat Pendidikan dan Pelatihan Pajak;2020
Kemenkeu Corpu Open Class Mengenal Bea Materai Lebih Dekat;Pusat Pendidikan dan Pelatihan Pajak;2020
Kemenkeu Corpu Open Class Menyongsong Pesta Rakyat: Belanja Negara dalam Tahapan PEMILU;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Kemenkeu Corpu Open Class Mitigasi Risiko Kegagalan Kontrak PBJ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
Kemenkeu Corpu Open Class Ngobraskeun: Harmonisasi Peraturan Perpajakan Seri 1 (PPh dan PPS);Pusat Pendidikan dan Pelatihan Pajak;2022
Kemenkeu Corpu Open Class Optimalisasi Belanja E-Marketplace Menggunakan Uang Persediaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Optimalisasi Penggunaan Aplikasi Pengadaan Barang/Jasa Pemerintah secara Elektornik Bagi Pejabat Pengadaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Pajak atas Belanja Barang dan Jasa Instansi Pemerintah;Pusat Pendidikan dan Pelatihan Pajak;2021
Kemenkeu Corpu Open Class Pedoman Pelaksanaan Penerimaan dan Pengeluaran pada Akhir Tahun Anggaran 2022;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Pelaksanaan Anggaran 2022;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Pemasaran dan Penjualan Produk UMKM;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Pembukuan Sederhana dan Pengenalan E-Lelang bagi UMKM;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Pengendalian Kontrak Pengadaan Barang/Jasa dan Pembayarannya Dalam Rangka Akhir Tahun 2021;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Penggunaan Kartu Kredit Pemerintah dan Marketplace untuk Satker dan Vendor;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Pengisian SPT Tahunan dengan e-Filing, Apa dan Bagaimana?;Pusat Pendidikan dan Pelatihan Pajak;2021
Kemenkeu Corpu Open Class Penilaian Pengendalian Intern atas Pelaporan Keuangan Pemerintah Pusat;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Penyusunan Kajian Fiskal Regional dan Proyeksi Penerimaan dan Pengeluaran Wilayah Kalimantan Timur, Utara dan Selatan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu OPen Class Reaktivasi IKPA dan Tantangannya di Masa Pandemi;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
Kemenkeu Corpu Open Class Refreshment Interpretasi SBM SBK 2023 untuk Pejabat Perbendaharaan dan Pelaku Pengadaan Barang Jasa Pemerintah;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Kemenkeu Corpu Open Class Rencana Kerja dan Anggaran: Langkah Awal Belanja Negara Berkualitas;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Kemenkeu Corpu Open Class Seluk Beluk Pelaksanaan Standar Biaya Masukan Tahun Anggaran 2024;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Kemenkeu Corpu Open Class Seminar:  “Dengan Program RAN P4GN: Yuk Perangi Penyalahgunaan Narkotika”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
"Kemenkeu Corpu Open Class SIAK (Sharing Informasi Bareng ASN Kemenkeu) Seri VI ""Kemenkeu Updates""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
Kemenkeu Corpu Open Class Spesial WINNER;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
Kemenkeu Corpu Open Class Strategi Pencapaian IKPA 2022;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
Kemenkeu Corpu Open Class Tantangan Implementasi Omnibus Law Badan Layanan Umum (BLU);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Open Class Tuntutan Ganti Rugi: Kenali dan Hindari;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
Kemenkeu Corpu OPen Class Video Mengajar APBN: Video 10 menit menang, yuk jalan-jalan gratis ke Jakarta;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2024
Kemenkeu Corpu OPen Class Video Mengajar APBN: Videomu berkesan, siap-siap jadi tamu kehormatan (Kemenkeu);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2024
"Kemenkeu Corpu Open Class X Executive Training Sharing Session: ""Facing Change and Organizational Transformation: Being A Positive Leader and Utilizing Interpersonal Communication Strategies""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
"Kemenkeu Corpu Open Class X Executive Training Sharing Session: ""Strategizing Negotiations and Integrating Adaptive Thinking in Public Sector""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
Kemenkeu Corpu Open Class Yuk Mengenal KUR dan UMi : Solusi Pembiayaan UMKM;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
"Kemenkeu Corpu Open Class: ""Artificial Intelligence Dalam Penulisan Ilmiah: Boleh Nggak  Sih?""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corpu Open Class: Are You Ready To Be The Next Voice Over Talent?;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
Kemenkeu Corpu Open Class: Implementasi Teknik NLP Dalam Leadership;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
Kemenkeu Corpu Open Class: Kontribusi Kawasan Berikat Terhadap Perekonomian Nasional dan Produktivitas Industri Lokal;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Kemenkeu Corpu Open Class: Manajemen Mutu dalam Pelayanan Publik;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
Kemenkeu Corpu Open Class: Pengisian Modul Pemberitahuan Impor Barang;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Kemenkeu Corpu Open Class: Seminar Pemeriksaan Barang Ekspor Khususnya Pengetahuan Terkait Produk CPO dan Turunannya serta Pohon Produksinya;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
Kemenkeu Corpu Talk  PMK Nomor 115 Tahun 2020: Wujud Upaya Optimalisasi BMN dalam Penanggulangan Covid-19;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
"Kemenkeu Corpu Talk ""Bela Negara: Bukti Nyata, Cinta Bangsa""";Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
"Kemenkeu Corpu Talk ""Walk the Talk: Integritas dalam Tantangan, Bagaimana Pimpinan dan Pegawai Bergerak?""";Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
Kemenkeu Corpu Talk Determinan Kepatuhan Bendahara Pemerintah Dalam Menyetorkan Pajak;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Talk Jabatan Fungsional Bidang Perbendaharaan Sebagai Wujud Profesionalisme ASN Bidang Keuangan Negara;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
Kemenkeu Corpu Talk Kebijakan Pelaksanaan Anggaran Guna Mendukung Pemulihan Ekonomi Nasional;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
Kemenkeu Corpu Talk Mempertahankan Akuntabilitas Pelaporan Keuangan Pemerintah di Tengah Pandemi untuk Kebaikan Negeri;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Talk Mengawal Program PEN untuk UMKM: Upaya Pengawasan Internal dalam Mendorong Aktivitas Sektor Riil;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Kemenkeu Corpu Talk Menjaga Kelangsungan Ekonomi Indonesia dari Pandemi COVID-19;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
Kemenkeu Corpu Talk Modernisasi Pengelolaan Kas Negara melalui Digital Payment - Marketplace dalam Rangka Pelaksanaan Belanja Negara: Capaian, Tantangan, dan Harapan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
Kemenkeu Corpu Talk Opini Wajar Tanpa Pengecualian (WTP) Laporan Keuangan Pemerintah Pusat Tahun 2019;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
